N,Size,Grdy,It,Bt1,Bt2,Bt3,Tht
2,16,222400,277800,245800,184100,174500,1550600
2,16,225200,280900,246800,185300,175900,2615200
2,16,228600,283800,247700,186500,177300,3528700
2,16,230700,286300,248500,187500,178700,4354800
2,16,232700,289100,249300,188400,180100,5163400
2,16,234700,291600,250100,189500,181500,5936200
2,16,236600,294300,251000,190500,182800,6915800
2,16,241400,297900,252100,191900,184900,7645200
2,16,244800,300700,254700,195400,186900,9927000
2,16,246800,303500,255500,196400,188300,10723200
4,16,2700,4200,2000,2500,4000,1776100
4,16,5300,8200,5800,5300,8200,3111900
4,16,8400,13700,8500,8800,13900,4384100
4,16,10700,17500,10400,11100,17700,6145000
4,16,13300,22700,13000,14400,23300,7673300
4,16,15500,28300,20700,17200,27400,8888500
4,16,17700,32300,28000,27600,37800,10442900
4,16,19800,36000,28700,30900,40400,11683300
4,16,23200,41500,29600,31900,43000,13318800
4,16,27000,45600,30300,33100,44400,14642900
8,16,3600,8200,2300,3000,6400,1608600
8,16,7000,23200,5000,5900,13200,2988100
8,16,9800,32300,8000,8600,21200,4348600
8,16,12100,39800,11600,11500,28200,5706600
8,16,14500,48400,13700,14200,34500,8258400
8,16,16700,56100,19500,20000,51200,9470500
8,16,20200,75900,21700,23500,59000,11125000
8,16,22900,86500,27600,29000,72000,12524400
8,16,25200,98400,30700,33300,87700,14358600
8,16,28100,106200,39300,36600,94700,16076000
16,16,4500,23800,338500,805600,916100,1773800
16,16,8800,54600,628600,1654000,1747400,3646700
16,16,14200,77100,796900,1856600,2206000,5591000
16,16,18800,102500,972300,2041900,2660500,7356100
16,16,25800,127400,1151900,2225900,3127700,9042200
16,16,30800,158100,1338100,2404400,3598400,10666800
16,16,34200,185000,1526600,2598100,4070400,12216600
16,16,37500,211700,1699700,2776600,4543200,13854100
16,16,42800,248900,1891400,2955400,5020100,16565200
16,16,47300,270800,2077400,3163600,7315600,18551900
32,16,4400,7981982700,7580454700,16554973500,33546815600,1586427800
